Date,Close,,
2/12/1948,10.24209,,
3/14/1948,9.48196,,
4/12/1948,6.81818,,
5/13/1948,8.27273,,
6/12/1948,9.38497,,
7/13/1948,9.375,,
8/12/1948,9.76158,,
9/12/1948,9.0625,,
10/13/1948,6.65499,,
11/12/1948,6.11087,,
12/13/1948,4.77016,,
1/12/1949,2.73387,,
2/12/1949,1.39358,,
3/15/1949,1.01394,,
4/12/1949,1.74468,,
5/13/1949,0.41982,,
6/12/1949,-0.41649,,
7/13/1949,-0.95238,,
8/12/1949,-2.86885,,
9/12/1949,-2.98813,,
10/13/1949,-2.50411,,
11/12/1949,-2.63266,,
12/13/1949,-1.90397,,
1/12/1950,-1.82952,,
2/12/1950,-2.08247,,
3/15/1950,-1.25471,,
4/12/1950,-1.12923,,
5/13/1950,-1.12876,,
6/12/1950,-0.58553,,
7/13/1950,-0.16722,,
8/12/1950,1.56118,,
9/12/1950,2.1097,,
10/13/1950,2.48421,,
11/12/1950,3.50655,,
12/13/1950,3.79747,,
1/12/1951,5.80263,,
2/12/1951,7.95406,,
3/15/1951,9.4028,,
4/12/1951,9.47547,,
5/13/1951,9.59831,,
6/12/1951,9.3395,,
7/13/1951,8.58459,,
8/12/1951,7.64437,,
9/12/1951,6.8595,,
10/13/1951,6.9433,,
11/12/1951,6.77551,,
12/13/1951,6.99187,,
1/12/1952,5.96477,,
2/12/1952,4.21592,,
3/14/1952,2.24545,,
4/12/1952,1.97063,,
5/13/1952,2.08333,,
6/12/1952,1.84686,,
7/13/1952,2.31392,,
8/12/1952,2.97183,,
9/12/1952,3.20959,,
10/13/1952,2.30503,,
11/12/1952,2.02599,,
12/13/1952,1.40578,,
1/12/1953,0.90669,,
2/12/1953,0.71834,,
3/15/1953,0.68156,,
4/12/1953,0.90944,,
5/13/1953,0.86924,,
6/12/1953,0.86891,,
7/13/1953,0.90464,,
8/12/1953,0.41229,,
9/12/1953,0.59948,,
10/13/1953,0.97634,,
11/12/1953,0.97415,,
12/13/1953,0.59948,,
1/12/1954,0.59903,,
2/12/1954,1.12613,,
3/15/1954,1.50432,,
4/12/1954,1.12655,,
5/13/1954,0.63694,,
6/12/1954,0.86142,,
7/13/1954,0.63504,,
8/12/1954,0.26129,,
9/12/1954,0,,
10/13/1954,-0.29751,,
11/12/1954,-0.85343,,
12/13/1954,-0.26071,,
1/12/1955,-0.37216,,
2/12/1955,-0.63103,,
3/15/1955,-0.62986,,
4/12/1955,-0.51987,,
5/13/1955,-0.26061,,
6/12/1955,-0.59413,,
7/13/1955,-0.85375,,
8/12/1955,-0.3723,,
9/12/1955,-0.48417,,
10/13/1955,0.1492,,
11/12/1955,0.37425,,
12/13/1955,0.37341,,
1/12/1956,0.37355,,
2/12/1956,0.22413,,
3/14/1956,0.14914,,
4/12/1956,0.37327,,
5/13/1956,0.52258,,
6/12/1956,0.97124,,
7/13/1956,1.64732,,
8/12/1956,1.98057,,
9/12/1956,2.20808,,
10/13/1956,1.8622,,
11/12/1956,2.57271,,
12/13/1956,2.34375,,
1/12/1957,2.82843,,
2/12/1957,3.13082,,
3/15/1957,3.49963,,
4/12/1957,3.60729,,
5/13/1957,3.71333,,
6/12/1957,3.58861,,
7/13/1957,3.53591,,
8/12/1957,3.29791,,
9/12/1957,3.55181,,
10/13/1957,3.54662,,
11/12/1957,2.94438,,
12/13/1957,3.27154,,
1/12/1958,3.04017,,
2/12/1958,3.5056,,
3/15/1958,3.23741,,
4/12/1958,3.62527,,
5/13/1958,3.61618,,
6/12/1958,3.35714,,
7/13/1958,2.84596,,
8/12/1958,2.48315,,
9/12/1958,2.3338,,
10/13/1958,2.08333,,
11/12/1958,2.08333,,
12/13/1958,1.90074,,
1/12/1959,1.75623,,
2/12/1959,1.2919,,
3/15/1959,1.0453,,
4/12/1959,0.34638,,
5/13/1959,0.13822,,
6/12/1959,0.34554,,
7/13/1959,0.6918,,
8/12/1959,0.89997,,
9/12/1959,0.8293,,
10/13/1959,1.17606,,
11/12/1959,1.52196,,
12/13/1959,1.38169,,
1/12/1960,1.51881,,
2/12/1960,1.24095,,
3/14/1960,1.41379,,
4/12/1960,1.51881,,
5/13/1960,1.93237,,
6/12/1960,1.82507,,
7/13/1960,1.71762,,
8/12/1960,1.37221,,
9/12/1960,1.47361,,
10/13/1960,1.23077,,
11/12/1960,1.36286,,
12/13/1960,1.46508,,
1/12/1961,1.36008,,
2/12/1961,1.60027,,
3/15/1961,1.46209,,
4/12/1961,1.46209,,
5/13/1961,0.91401,,
6/12/1961,0.91309,,
7/13/1961,0.77676,,
8/12/1961,1.25212,,
9/12/1961,1.11449,,
10/13/1961,1.24958,,
11/12/1961,0.77311,,
12/13/1961,0.67159,,
1/12/1962,0.67092,,
2/12/1962,0.67024,,
3/15/1962,0.90483,,
4/12/1962,1.1059,,
5/13/1962,1.34183,,
6/12/1962,1.34048,,
7/13/1962,1.23995,,
8/12/1962,1.00267,,
9/12/1962,1.1356,,
10/13/1962,1.46765,,
11/12/1962,1.33422,,
12/13/1962,1.33422,,
1/12/1963,1.23292,,
2/12/1963,1.33156,,
3/15/1963,1.22883,,
4/12/1963,1.12695,,
5/13/1963,0.89374,,
6/12/1963,0.89286,,
7/13/1963,1.32406,,
8/12/1963,1.55526,,
9/12/1963,1.55218,,
10/13/1963,0.98619,,
11/12/1963,1.21791,,
12/13/1963,1.31666,,
1/12/1964,1.64582,,
2/12/1964,1.64258,,
3/14/1964,1.41076,,
4/12/1964,1.40937,,
5/13/1964,1.54199,,
6/12/1964,1.54048,,
7/13/1964,1.30676,,
8/12/1964,1.07527,,
9/12/1964,0.97561,,
